opposition,mdns,runs,wkts,pos,inns,total_balls,strike_rate,average,econ
Australia,222,3464,118,123,136,6512,55.186440677966104,29.35593220338983,3.191646191646192
Bangladesh,24,319,8,10,16,612,76.5,39.875,3.1274509803921573
India,174,1797,70,71,84,3864,55.2,25.67142857142857,2.7903726708074537
Ireland,8,79,7,2,6,162,23.142857142857142,11.285714285714286,2.925925925925926
New Zealand,116,1794,66,70,72,3401,51.53030303030303,27.181818181818183,3.1649514848573954
Pakistan,154,1296,54,61,75,3144,58.22222222222222,24.0,2.4732824427480917
South Africa,149,1987,61,82,77,3932,64.45901639344262,32.57377049180328,3.0320447609359102
Sri Lanka,77,1176,30,38,52,2334,77.8,39.2,3.023136246786632
West Indies,137,1643,57,64,77,3409,59.80701754385965,28.82456140350877,2.891757113523027
