start_date,runs,wkts,total_balls,average,strike_rate
2015-12-31,111,2,294,55.5,147.0
2016-12-31,1074,46,1688,23.347826086956523,36.69565217391305
2017-12-31,1156,57,2160,20.280701754385966,37.89473684210526
2018-12-31,1044,52,1987,20.076923076923077,38.21153846153846
2019-12-31,733,26,1241,28.192307692307693,47.73076923076923
