home_or_away,mdns,runs,wkts,pos,inns,total_balls,strike_rate,average,econ
Away,193,2075,72,90,108,4653,64.625,28.819444444444443,2.6756931012250162
Home,265,2574,138,110,153,5797,42.007246376811594,18.652173913043477,2.6641366223908918
Neutral,15,138,6,8,10,330,55.0,23.0,2.509090909090909
