home_or_away,mdns,runs,wkts,pos,inns,total_balls,strike_rate,average,econ
Away,84,1207,22,70,56,2420,110.0,54.86363636363637,2.992561983471074
Home,117,1642,70,121,92,3108,44.4,23.457142857142856,3.1698841698841695
