opposition,mdns,runs,wkts,pos,inns,total_balls,strike_rate,average,econ
Australia,111,1308,53,47,68,2761,52.094339622641506,24.67924528301887,2.8424483882651215
Bangladesh,4,65,2,4,3,186,93.0,32.5,2.096774193548387
England,52,518,22,27,30,1205,54.77272727272727,23.545454545454547,2.579253112033195
India,82,682,30,23,33,1652,55.06666666666667,22.733333333333334,2.476997578692494
New Zealand,64,700,34,29,36,1521,44.73529411764706,20.58823529411765,2.7613412228796843
Pakistan,62,546,27,26,35,1278,47.333333333333336,20.22222222222222,2.563380281690141
Sri Lanka,63,685,39,33,46,1457,37.35897435897436,17.564102564102566,2.820864790665752
West Indies,20,176,6,11,11,450,75.0,29.333333333333332,2.3466666666666667
Zimbabwe,15,107,3,8,9,270,90.0,35.666666666666664,2.3777777777777778
