opposition,mdns,runs,wkts,pos,inns,total_balls,strike_rate,average,econ
Australia,285,3595,104,70,139,7051,67.79807692307692,34.56730769230769,3.0591405474400797
Bangladesh,21,223,9,4,10,504,56.0,24.77777777777778,2.6547619047619047
India,264,2858,110,61,128,6037,54.88181818181818,25.98181818181818,2.8404836839489813
New Zealand,121,1610,60,36,66,2953,49.21666666666667,26.833333333333332,3.2712495767016594
Pakistan,159,1171,63,29,71,3064,48.63492063492063,18.58730158730159,2.2930809399477807
South Africa,194,2753,84,68,99,5540,65.95238095238095,32.773809523809526,2.98158844765343
Sri Lanka,117,1241,52,32,57,2695,51.82692307692308,23.865384615384617,2.7628942486085344
West Indies,189,1817,82,59,94,4131,50.3780487804878,22.158536585365855,2.6390704429920118
Zimbabwe,18,223,11,5,10,384,34.90909090909091,20.272727272727273,3.484375
