home_or_away,mdns,runs,wkts,pos,inns,total_balls,strike_rate,average,econ
Away,110,1689,56,75,60,3217,57.44642857142857,30.160714285714285,3.150139881877526
Home,144,2429,127,115,117,4153,32.7007874015748,19.125984251968504,3.5092704069347462
