home_or_away,mdns,runs,wkts,pos,inns,total_balls,strike_rate,average,econ
Away,16,207,8,14,12,380,47.5,25.875,3.268421052631579
Home,62,968,22,53,41,1651,75.04545454545455,44.0,3.5178679588128405
Neutral,17,170,6,14,8,377,62.833333333333336,28.333333333333332,2.7055702917771884
