home_or_away,mdns,runs,wkts,pos,inns,total_balls,strike_rate,average,econ
Away,22,449,8,22,20,787,98.375,56.125,3.4231257941550193
Home,25,398,19,48,34,761,40.05263157894737,20.94736842105263,3.137976346911958
