opposition,mdns,runs,wkts,pos,inns,total_balls,strike_rate,average,econ
Australia,31,391,10,21,15,712,71.2,39.1,3.294943820224719
New Zealand,24,413,11,18,16,696,63.27272727272727,37.54545454545455,3.5603448275862064
Pakistan,24,251,8,21,14,542,67.75,31.375,2.7785977859778597
South Africa,13,197,1,13,10,336,336.0,197.0,3.5178571428571432
West Indies,3,93,6,8,6,122,20.333333333333332,15.5,4.573770491803279
