home_or_away,opposition,mdns,runs,wkts,pos,inns,total_balls,strike_rate,average,econ
Away,New Zealand,16,238,6,9,6,445,74.16666666666667,39.666666666666664,3.208988764044944
Away,Sri Lanka,2,50,1,5,8,90,90.0,50.0,3.3333333333333335
Away,West Indies,4,161,1,8,6,252,252.0,161.0,3.833333333333333
Home,Australia,9,68,3,6,6,150,50.0,22.666666666666668,2.7199999999999998
Home,India,11,259,11,31,22,466,42.36363636363637,23.545454545454547,3.334763948497854
Home,Ireland,3,28,3,4,2,60,20.0,9.333333333333334,2.8
Home,Pakistan,2,43,2,7,4,85,42.5,21.5,3.0352941176470587
