opposition,home_or_away,mdns,runs,wkts,pos,inns,total_balls,strike_rate,average,econ
Australia,Home,31,391,10,21,15,712,71.2,39.1,3.294943820224719
New Zealand,Away,13,114,2,6,6,258,129.0,57.0,2.6511627906976747
New Zealand,Home,11,299,9,12,10,438,48.666666666666664,33.22222222222222,4.095890410958904
Pakistan,Home,7,81,2,7,6,165,82.5,40.5,2.9454545454545453
Pakistan,Neutral,17,170,6,14,8,377,62.833333333333336,28.333333333333332,2.7055702917771884
South Africa,Home,13,197,1,13,10,336,336.0,197.0,3.5178571428571432
West Indies,Away,3,93,6,8,6,122,20.333333333333332,15.5,4.573770491803279
