home_or_away,opposition,mdns,runs,wkts,pos,inns,total_balls,strike_rate,average,econ
Away,New Zealand,24,209,2,7,6,492,246.0,104.5,2.548780487804878
Home,Australia,34,446,22,15,20,936,42.54545454545455,20.272727272727273,2.8589743589743586
