opposition,home_or_away,mdns,runs,wkts,pos,inns,total_balls,strike_rate,average,econ
Australia,Home,34,446,22,15,20,936,42.54545454545455,20.272727272727273,2.8589743589743586
New Zealand,Away,24,209,2,7,6,492,246.0,104.5,2.548780487804878
