opposition,mdns,runs,wkts,pos,inns,total_balls,strike_rate,average,econ
Australia,60,779,38,35,36,1494,39.31578947368421,20.5,3.1285140562249
Bangladesh,13,180,15,6,11,353,23.533333333333335,12.0,3.0594900849858355
England,45,937,38,28,28,1468,38.63157894736842,24.657894736842106,3.829700272479564
India,58,700,24,43,32,1460,60.833333333333336,29.166666666666668,2.8767123287671232
New Zealand,27,427,13,16,14,777,59.76923076923077,32.84615384615385,3.2972972972972974
Pakistan,14,318,17,18,14,518,30.470588235294116,18.705882352941178,3.6833976833976836
Sri Lanka,32,753,35,37,37,1221,34.885714285714286,21.514285714285716,3.7002457002457003
Zimbabwe,5,24,3,7,5,79,26.333333333333332,8.0,1.8227848101265822
