home_or_away,mdns,runs,wkts,pos,inns,total_balls,strike_rate,average,econ
Away,408,4955,146,179,204,10312,70.63013698630137,33.93835616438356,2.8830488750969745
Home,587,8143,305,317,365,15806,51.82295081967213,26.698360655737705,3.0911046438061494
Neutral,66,457,20,25,26,1252,62.6,22.85,2.1900958466453675
