home_or_away,mdns,runs,wkts,pos,inns,total_balls,strike_rate,average,econ
Away,496,6293,185,138,254,12742,68.87567567567568,34.016216216216215,2.9632710720452047
Home,809,8746,368,214,394,18321,49.78532608695652,23.766304347826086,2.8642541345996397
Neutral,63,452,22,12,26,1296,58.90909090909091,20.545454545454547,2.0925925925925926
